date: 2022-11-14

asset,amount,quote
AVAX,6.6622,$15.010
KUJI,1891.0579,$0.910
USK,389.7292,$1.000
ATOM,44.1741,$10.012
STARS,4818.594,$0.042
FURY,16110.424,$0.006
CMDX,1621.6565,$0.123
ETH,0.0833,$1.000
EVMOS,233.54166,$1.462
OSMO,399.392,$1.213
JUNO,158.3801,$2.526
LUNA,149.6825,$2.002
SCRT,239.7359,$0.834
