Protocol	Blockchain	invested	value	ROI	apportionment
ASTROPORT	TERRA	$228.00	$221.57	-2.82%	4.32%
CAPAPULT	TERRA	$800.00	$1,664.10	108.01%	32.45%
CAVERN	TERRA	$912.00	$1,728.76	89.56%	33.71%
ERIS	TERRA	$306.95	$440.96	43.66%	8.60%
GINKOU	MIGALOO	$385.00	$571.56	48.46%	11.14%
LION DAO	TERRA	$38.50	$230.07	497.58%	4.49%
STATION	TERRA	$142.24	$271.66	90.99%	5.30%
