Asset,amount,quote
KUJI,91.4077,1.094
KUJI,92.2509,1.084
USK,62.166167,1
axlUSDC,124.699208,1
OSMO,124.699208,1.167
ATOM,8.5397,11.71
ATOM,8.6957,11.5
