
ORCA liquidations by Market
date,bid,asset,n,amount ($),market, ,bid,asset,n,amount ($),market, ,Top 5 @TeamKujira ORCA liquidations by Market ($) for 7-days trailing 2024-01-15
2024-01-07,---,wMATIC,1,$0.000, , , , , ,, , , , ,
2024-01-07,---,wFTM,2,$1760.651, , , , , ,, , , , ,
2024-01-07,---,LUNA,8,$2819.478, , , , , ,, , , , ,
2024-01-07,---,INJ,2,$98.765, , , , , ,, , , , ,
2024-01-07,---,gPAXG,5,$1833.576, , , , , ,, , , , ,
2024-01-07,---,KUJI,2,$180.259, , , , , ,, , , , ,
2024-01-07,---,ATOM,7,$5687.560, , , , , ,, , , , ,
2024-01-07,---,DOT,2,$0.000, , , , , ,, , , , ,
2024-01-07,---,wAVAX,4,$1171.886, , , , , ,, , , , ,

Raw CSV of report archived at https://raw.githubusercontent.com/logicalgraphs/crypto-n-rust/main/data-files/ORCA/report.csv
