date: 2022-11-04

asset,amount,quote
EVMOS,73.7759,$1.918
FURY,16100.008,$0.007
axlUSDC,554.5654,$0.987
USK,412.07,$1.002
OSMO,283.34198,$1.192
KUJI,1181.5204,$0.968
JUNO,33.557,$2.980
ATOM,8.077196,-$14.823
LUNA,42.5713,$2.342
