date: 2023-01-08

asset,amount,quote
AVAX,6.6622,$15.010
ATOM,47.9041,$7.481
wETH,0.23050001,$1180.000
AQUA,11329.692,$0.005
CMDX,998.4125,$0.083
JUNO,200.11569,$2.230
EVMOS,233.54166,$1.460
axlUSDC,636.723,$0.937
OSMO,1089.1682,$0.970
FURY,32557.586,$0.007
LUNA,295.2775,$1.700
SCRT,591.82495,$0.700
STARS,5638.7656,$0.029
USK,477.7694,$1.032
wBNB,0.1515,$239.243
KUJI,1420.6993,$1.131
DOT,90.23171,$4.516
