date: 2022-11-03

asset,amount,quote
ATOM,31.074997,$7.371
EVMOS,73.7759,$1.918
KUJI,1181.5204,$0.968
USK,128.21,$1.002
axlUSDC,462.0454,$0.987
LUNA,51.5223,$2.368
FURY,16100.008,$0.007
JUNO,33.557,$2.980
OSMO,286.494,$1.195
