date,Asset,amount,for,amount,at price,valuation,ratio,inverted ratio
2022-11-04,axlUSDC,16.5769,USK,16,$0.97,$0.932,0.9652,1.03605625
2022-11-04,OSMO,30.3649,ATOM,2.9978,$16.34,$1.613,0.0987,10.12906131
2022-11-04,axlUSDC,53.6605,OSMO,33.5169,$1.60,$1.000,0.6246,1.600998302
2022-11-04,USK,299.86,ATOM,20,$14.99,$1.000,0.0667,14.993
2022-11-04,axlUSDC,9.92,LUNA,4,$2.48,$1.000,0.4032,2.48
2022-11-04,axlUSDC,12.3626,LUNA,4.951,$2.50,$1.000,0.4005,2.496990507
