r1.multiplier,a.name,r2.multiplier,b.name,r3.multiplier
0.767,USK,0.0917347,ATOM,13.157895
0.767,USK,1.017294,axlUSDC,1.2886598
0.076,ATOM,10.901,USK,1.3037809
0.076,ATOM,10.037,axlUSDC,1.2886598
0.776,axlUSDC,0.09963137,ATOM,13.157895
0.776,axlUSDC,0.983,USK,1.3037809
