date: 2022-11-10

asset,amount,quote
SCRT,239.7359,$0.834
ETH,0.0833,$1.000
axlUSDC,113.5661,$1.000
EVMOS,146.66066,$1.647
FURY,16110.424,$0.006
ATOM,18.075298,$11.226
LUNA,149.6825,$2.002
CMDX,1621.6565,$0.123
AVAX,6.6622,$15.010
JUNO,158.3801,$2.526
USK,364.6492,$0.980
STARS,4818.594,$0.042
OSMO,527.6388,$1.209
KUJI,1925.6825,$0.914
