Trade	type	date	Asset	amount	for	amount	at price	valuation	tx_id	commission	fee	KUJI ($)	fee ($)	commission ($)	ratio	inverted	premium/ROI	APR
21	SELL	2023-05-08 23:53	LUNA	704.7471	ampLUNA	598.105	$1.20	$1.0210	https://finder.kujira.app/kaiyo-1/tx/1B780AD5E235A4F500A0D101F977FEAA17A199E29883B591586AA923A259BCA5	0.52856	0.000315	$0.627	$0.000	$0.5396	1.02	0.9794679668	1.1783	23.464923
22	LIQUIDATION	2023-05-09 0:23	LUNA	64.8723	USK	60.0000	$1.0000	$0.9249	https://finder.kujira.app/kaiyo-1/tx/40D12DEAA2F51D45C6F5BB671E70E2FACE4B61EF8F67A24B00644BD2BA765FFE	0.324361	0.000437	$0.627	$0.000	$0.3000	0.92	1.081205367	6.86%	
23	BUY	2023-05-09 0:34	axlUSDC	196.473	USK	189.675	$1.0000	$0.9654	https://finder.kujira.app/kaiyo-1/tx/768961EDC4A752E76D439CAD82452D59859D520BEA663B9147996394BB70DAB1	0.285618	0.00037	$0.627	$0.000	$0.2757	0.97	1.035840253	2.12%	1074.20%
24	BUY	2023-05-09 0:34	axlUSDC	44.3347	USK	42.5968	$1.0000	$0.9608	https://finder.kujira.app/kaiyo-1/tx/768961EDC4A752E76D439CAD82452D59859D520BEA663B9147996394BB70DAB1	0	0	$0.627	$0.000	$0.0000	0.96	1.040798839	2.43%	1226.78%
25	BUY	2023-05-09 0:34	axlUSDC	140.0179	USK	134.4592	$1.0000	$0.9603	https://finder.kujira.app/kaiyo-1/tx/768961EDC4A752E76D439CAD82452D59859D520BEA663B9147996394BB70DAB1	0	0	$0.627	$0.000	$0.0000	0.96	1.041341165	1.67%	842.87%
26	BUY	2023-05-09 1:52	stATOM	23.6977	ATOM	26.4893	$10.72	$11.9862	https://finder.kujira.app/kaiyo-1/tx/8665C87A896256D1AD30BBA1E1040F24F2D149F5B1D6E1CC88EDB9F02A1DE605	0.02112	0.000338	$0.627	$0.000	$0.2531	11.99	0.08342945554	1.1178	1.86%
27	BUY	2023-05-09 1:52	stATOM	4.4632	ATOM	4.9953	$10.72	$12.0014	https://finder.kujira.app/kaiyo-1/tx/8665C87A896256D1AD30BBA1E1040F24F2D149F5B1D6E1CC88EDB9F02A1DE605	0	0	$0.627	$0.000	$0.0000	12.00	0.0833236847	1.1192	1.74%
28	SELL	2023-05-09 2:01	LUNA	59.7775	KUJI	92.3919	$0.61	$0.9459	https://finder.kujira.app/kaiyo-1/tx/8E93991491190BF9990DB2FCFEFBB665561B9884527079EF62E491366F0272F9	0.044833	0.000356	$0.627	$0.000	$0.0424	0.95	1.057188494		
29	SELL	2023-05-09 3:29	axlUSDC	57.0447	LUNA	59.7327	$0.96	$1.0000	https://finder.kujira.app/kaiyo-1/tx/2DC988EB4DD94A182461C28129802818F2F58F410CE8D20180E09BD468B169CF	0.042783	0.000316	$0.627	$0.000	$0.0428	1.00	0.9999995004		
30	BUY	2023-05-09 4:41	KUJI	94.7973	axlUSDC	57.542	$1.00	$0.6070	https://finder.kujira.app/kaiyo-1/tx/DBD684B8A1CC51BBA12C08AFB31DEBF80034FB7F55FB9CEDA4A8547FA22B21D1	0.071097	0.00029	$0.627	$0.000	$0.0432	0.61	1.647445344		
