date: 2023-03-29

a	b	ratio
ATOM	OSMO	14.71558
ampLUNA	LUNA	1.1434
stATOM	ATOM	1.124
OSMO	axlUSDC	0.821449
ampLUNA	axlUSDC	1.595132
