date,Asset,amount,for,amount,at price,valuation,ratio,inverted ratio
2022-10-09,USK,98.925748,axlUSDC,100,$1.00,$1.011,1.011,
2022-10-09,ATOM,7.5858,USK,100,$1.00,$13.183,13.183,
